经度,纬度,分组
117.983315535911,37.4176743276618,1
117.973765326148,37.4244645503197,2
117.962373144492,37.424390065063,3
117.945885559169,37.4429436615101,4
117.927671006465,37.3623406430528,5
118.066123215066,37.4240486856024,6
118.051731504798,37.4129581654911,7
117.989871999195,37.4606083333113,8
117.99218837686,37.3457999727362,9
117.957198325171,37.3469997058741,10
117.966628591252,37.3599016208784,11
117.988856441066,37.4010271061309,12
117.987963929321,37.4094844427762,13
117.973949727982,37.4100329462626,14
117.963018759327,37.4077473998643,15
117.9531681411,37.4070721617931,16
117.936327736869,37.4097641000822,17
117.938427082264,37.3543287116808,18
118.059833097343,37.3740988073249,19
118.047949143999,37.3987426106745,20
117.992031386653,37.4227382085456,21
117.977585951703,37.4409307934959,22
117.974024272035,37.3596972035949,23
117.978927404437,37.3472618975334,24
117.957789623703,37.3705957371306,25
117.958164719193,37.3613874113579,26
117.950758711893,37.3621580909034,27
117.992689496125,37.3958343111787,28
117.950321531332,37.3728608615677,29
117.964868773862,37.3705049531026,30
117.957579479443,37.3773706877507,31
117.981037359858,37.4035333446824,32
118.030126620029,37.4024979172282,33
118.038712351424,37.4137181583388,34
118.047220209642,37.4433199184112,35
118.000298795675,37.4241552477159,36
118.022135928262,37.4046881122621,37
118.021826474551,37.3962776570954,38
117.946132452625,37.3855322774141,39
117.952908843192,37.3825905638831,40
117.949210197824,37.3944826994584,41
117.930324528776,37.3972707037442,42
117.93485237867,37.38372528035,43
117.943413045787,37.37622584784,44
117.967867868648,37.377698569522,45
117.962995460113,37.380972903556,46
117.958053952537,37.3874717939603,47
117.970094747642,37.393194645677,48
117.978334654827,37.3956352639604,49
117.970264500735,37.4005852080009,50
117.96612376129,37.3876560019532,51
117.960228028482,37.3960695006707,52
118.023230449904,37.3637301040724,53
118.030285218408,37.3675832949208,54
118.042472308252,37.3563554423959,55
118.023342905616,37.3461573077875,56
118.018797488154,37.3739801765515,57
118.015852742257,37.357884082841,58
118.005231734374,37.3463359626539,59
118.033597137168,37.3964275800195,60
118.042714886857,37.3889559408613,61
118.042151924006,37.3745540869617,62
118.022653844511,37.4219593121666,63
118.032751781579,37.4216703080955,64
118.023948671078,37.4473960583836,65
118.020289943829,37.4135022435344,66
118.013486229436,37.4187520531791,67
118.028801932305,37.4104144501812,68
118.007063775077,37.4359229487878,69
118.012601237949,37.3949213891206,70
118.016716523649,37.3997430185618,71
118.015699795122,37.4075854144831,72
117.972243989448,37.3710948997411,73
117.981469049993,37.3840393538812,74
117.973461931696,37.3810790573877,75
117.975630909622,37.387892929962,76
117.984862377587,37.3926301655773,77
117.989261079024,37.3777810262218,78
118.006515851844,37.3600607474771,79
118.00010401302,37.3617999198208,80
118.026598638281,37.3854133336966,81
118.027797591209,37.3922767291427,82
118.021034000409,37.3895441876161,83
118.034356287173,37.3838793352256,84
118.023916962915,37.3779290971697,85
118.030962871015,37.3767747393067,86
118.00635592315,37.3940204366699,87
117.986113014469,37.3675560535559,88
117.97832607836,37.3733185597985,89
117.981762104733,37.3614488331226,90
117.983523428208,37.3765136867145,91
117.991735060161,37.3703215129772,92
117.992959035296,37.3580178441094,93
118.008497935524,37.388512394813,94
118.0152337972,37.3899326892899,95
118.019248967137,37.3834943163459,96
117.995434599541,37.3858954808471,97
118.002284615263,37.3877494767139,98
117.988554706405,37.3844399005106,99
117.99138185817,37.3903407817556,100
117.998975476601,37.392844479625,101
117.999657354979,37.3819208891364,102
117.998101791661,37.3707861523365,103
117.995214723984,37.3778267330757,104
118.002467530795,37.4068771815303,105
118.009927598259,37.4013252132662,106
118.009091021823,37.4082451352614,107
118.003340355926,37.3990698315312,108
118.005931448386,37.4156795436968,109
117.99603943273,37.4097446578785,110
117.997054316984,37.4006380653007,111
118.009380638403,37.3767452211403,112
118.002515137316,37.3765482111739,113
118.005366330258,37.3703972137113,114
118.012904096735,37.3695274162896,115
118.014908579458,37.3788742033902,116
118.006086714396,37.382287286289,117
118.012398506518,37.3840547126632,118
