0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,10,11,14,13,18,15,24,23,28,21,33,31,16
8,0,2,3,6,5,10,7,16,15,20,13,25,23,8
10,2,0,5,8,3,8,5,14,13,18,15,23,21,6
11,3,5,0,4,4,9,6,15,14,19,10,24,22,7
14,6,8,4,0,8,13,10,19,18,23,14,28,26,11
13,5,3,4,8,0,5,2,11,10,15,14,20,18,3
18,10,8,9,13,5,0,4,10,7,12,19,17,15,2
15,7,5,6,10,2,4,0,10,8,13,16,18,16,2
24,16,14,15,19,11,10,10,0,17,22,25,27,25,8
23,15,13,14,18,10,7,8,17,0,5,15,10,8,9
28,20,18,19,23,15,12,13,22,5,0,10,5,7,14
21,13,15,10,14,14,19,16,25,15,10,0,15,17,17
33,25,23,24,28,20,17,18,27,10,5,15,0,2,19
31,23,21,22,26,18,15,16,25,8,7,17,2,0,17
16,8,6,7,11,3,2,2,8,9,14,17,19,17,0
