格式化上车站点编号,格式化下车站点编号,一天内刷卡数
001_D_01,001_D_02,5
001_D_01,001_D_03,2
001_D_01,001_D_04,6
001_D_01,001_D_05,1
001_D_01,001_D_06,3
001_D_01,001_D_08,4
001_D_01,001_D_11,1
001_D_01,001_D_12,2
001_D_01,001_D_14,3
001_D_01,001_D_16,2
001_D_01,001_D_19,13
001_D_01,001_D_21,2
001_D_01,001_D_25,1
001_D_01,001_D_27,2
001_D_01,001_D_28,5
001_D_01,001_D_37,1
001_D_01,105_D_14,1
001_D_02,001_D_03,3
001_D_02,001_D_04,1
001_D_02,001_D_19,1
001_D_02,001_D_21,1
001_D_02,001_D_25,2
001_D_02,001_D_26,2
001_D_02,001_D_28,2
001_D_02,001_D_30,1
001_D_03,001_D_04,2
001_D_03,001_D_12,1
001_D_03,001_D_25,1
001_D_03,001_D_28,1
001_D_04,001_D_05,1
001_D_04,001_D_06,1
001_D_04,001_D_08,4
001_D_04,001_D_10,3
001_D_04,001_D_11,2
001_D_04,001_D_12,2
001_D_04,001_D_14,2
001_D_04,001_D_15,2
001_D_04,001_D_16,1
001_D_04,001_D_17,2
001_D_04,001_D_19,14
001_D_04,001_D_23,2
001_D_04,001_D_25,9
001_D_04,001_D_26,5
001_D_04,001_D_27,1
001_D_04,001_D_28,8
001_D_04,001_D_30,4
001_D_04,001_D_32,3
001_D_04,012_U_32,1
001_D_05,001_D_06,4
001_D_05,001_D_08,3
001_D_05,001_D_10,1
001_D_05,001_D_11,3
001_D_05,001_D_13,1
001_D_05,001_D_14,3
001_D_05,001_D_16,2
001_D_05,001_D_17,3
001_D_05,001_D_23,1
001_D_05,001_D_24,1
001_D_05,001_D_25,1
001_D_05,001_D_26,3
001_D_05,001_D_27,2
001_D_05,001_D_28,5
001_D_05,001_D_38,1
001_D_06,001_D_07,2
001_D_06,001_D_08,2
001_D_06,001_D_10,1
001_D_06,001_D_12,2
001_D_06,001_D_15,2
001_D_06,001_D_19,1
001_D_06,001_D_25,1
001_D_06,001_D_26,1
001_D_06,001_D_28,1
001_D_06,001_D_30,2
001_D_06,001_D_38,1
001_D_07,001_D_08,1
001_D_07,001_D_10,1
001_D_07,001_D_11,1
001_D_07,001_D_14,1
001_D_07,001_D_16,1
001_D_07,001_D_19,2
001_D_07,001_D_25,8
001_D_07,001_D_27,1
001_D_07,001_D_37,1
001_D_07,001_D_38,3
001_D_08,001_D_14,3
001_D_08,001_D_25,4
001_D_08,001_D_26,1
001_D_08,001_D_28,1
001_D_09,001_D_11,1
001_D_09,001_D_12,1
001_D_09,001_D_14,2
001_D_09,001_D_19,5
001_D_09,001_D_23,1
001_D_09,001_D_24,1
001_D_09,001_D_25,3
001_D_09,001_D_26,4
001_D_09,001_D_28,1
001_D_09,001_D_37,1
001_D_10,001_D_14,4
001_D_10,001_D_19,3
001_D_10,001_D_20,1
001_D_10,001_D_21,1
001_D_10,001_D_23,2
001_D_10,001_D_25,5
001_D_10,001_D_26,1
001_D_10,001_D_27,2
001_D_11,001_D_14,2
001_D_11,001_D_17,1
001_D_11,001_D_19,2
001_D_11,001_D_21,1
001_D_11,001_D_27,1
001_D_11,001_D_28,3
001_D_11,001_D_32,1
001_D_11,001_D_38,1
001_D_12,001_D_14,4
001_D_12,001_D_19,1
001_D_12,001_D_20,1
001_D_12,001_D_21,2
001_D_12,001_D_25,4
001_D_12,001_D_28,1
001_D_12,001_D_30,4
001_D_13,001_D_19,1
001_D_13,001_D_21,1
001_D_13,001_D_25,2
001_D_13,001_D_26,1
001_D_13,001_D_27,1
001_D_13,001_D_30,5
001_D_13,001_D_38,1
001_D_14,001_D_19,1
001_D_14,001_D_24,1
001_D_14,001_D_25,4
001_D_14,001_D_26,1
001_D_14,001_D_28,1
001_D_14,001_D_32,1
001_D_15,001_D_19,1
001_D_15,001_D_21,1
001_D_15,001_D_25,7
001_D_15,001_D_26,1
001_D_15,001_D_28,2
001_D_15,001_D_30,1
001_D_16,001_D_19,1
001_D_16,001_D_21,1
001_D_16,001_D_25,1
001_D_16,001_D_26,2
001_D_16,001_D_30,1
001_D_16,001_D_32,1
001_D_17,001_D_19,1
001_D_17,001_D_25,1
001_D_17,001_D_28,2
001_D_17,001_D_30,1
001_D_18,001_D_27,1
001_D_18,001_D_28,1
001_D_19,001_D_20,2
001_D_19,001_D_23,1
001_D_19,001_D_26,2
001_D_20,001_D_21,1
001_D_20,001_D_25,1
001_D_23,001_D_28,1
001_D_25,001_D_26,1
001_D_26,001_D_27,1
001_D_27,001_D_30,1
001_D_29,001_D_32,1
001_D_29,001_D_33,1
001_D_29,001_D_38,1
001_D_32,001_D_33,1
001_U_01,001_U_19,3
001_U_01,001_U_25,2
001_U_01,001_U_26,1
001_U_01,001_U_27,1
001_U_01,001_U_29,1
001_U_01,001_U_30,1
001_U_01,001_U_31,1
001_U_01,001_U_34,3
001_U_03,001_U_31,1
001_U_03,001_U_32,1
001_U_03,001_U_34,1
001_U_04,001_U_19,1
001_U_04,001_U_34,1
001_U_05,001_U_07,5
001_U_05,001_U_24,1
001_U_05,001_U_25,1
001_U_05,001_U_29,1
001_U_05,001_U_34,3
001_U_06,001_U_34,4
001_U_07,001_U_25,1
001_U_07,001_U_31,1
001_U_08,001_U_10,1
001_U_08,001_U_23,1
001_U_08,001_U_24,1
001_U_08,001_U_25,1
001_U_08,001_U_27,9
001_U_08,001_U_34,3
001_U_09,001_U_11,1
001_U_09,001_U_16,1
001_U_09,001_U_22,1
001_U_09,001_U_25,5
001_U_09,001_U_27,1
001_U_09,001_U_29,3
001_U_09,001_U_31,2
001_U_09,001_U_34,9
001_U_10,001_U_11,1
001_U_10,001_U_22,1
001_U_10,001_U_24,1
001_U_10,001_U_27,1
001_U_10,001_U_29,1
001_U_10,001_U_30,2
001_U_10,001_U_31,1
001_U_10,001_U_34,3
001_U_11,001_U_19,1
001_U_11,001_U_20,1
001_U_11,001_U_24,2
001_U_11,001_U_25,3
001_U_11,001_U_27,1
001_U_11,001_U_30,1
001_U_11,001_U_31,4
001_U_11,001_U_32,1
001_U_11,001_U_34,1
001_U_12,001_U_19,1
001_U_12,001_U_24,2
001_U_12,001_U_25,7
001_U_12,001_U_27,2
001_U_12,001_U_30,3
001_U_12,001_U_31,3
001_U_12,001_U_34,4
001_U_13,001_U_14,1
001_U_13,001_U_19,1
001_U_13,001_U_23,1
001_U_13,001_U_24,2
001_U_13,001_U_25,3
001_U_13,001_U_27,6
001_U_13,001_U_30,2
001_U_13,001_U_31,3
001_U_13,001_U_34,2
001_U_14,001_U_20,2
001_U_14,001_U_25,1
001_U_14,001_U_31,1
001_U_14,001_U_34,1
001_U_14,005_U_42,1
001_U_15,001_U_25,1
001_U_15,001_U_34,1
001_U_16,001_U_20,1
001_U_16,001_U_25,1
001_U_16,001_U_30,1
001_U_16,001_U_31,1
001_U_16,001_U_34,1
001_U_18,001_U_24,1
001_U_18,001_U_25,1
001_U_18,001_U_27,3
001_U_18,001_U_29,1
001_U_18,001_U_30,1
001_U_18,001_U_34,3
001_U_19,001_U_27,1
001_U_19,001_U_30,1
001_U_20,001_U_21,2
001_U_20,001_U_22,1
001_U_20,001_U_23,1
001_U_20,001_U_24,1
001_U_20,001_U_25,3
001_U_20,001_U_27,5
001_U_20,001_U_29,2
001_U_20,001_U_30,3
001_U_20,001_U_31,4
