格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区
001_U_01,柳家,"['005_D_37', '001_U_03', '001_U_02']",1,上行,1,117.98317,37.493833,False
001_U_02,五中队,"['001_U_01', '005_D_37', '001_U_03', '001_U_04']",1,上行,2,117.982986,37.49055,False
001_U_03,九环,"['001_U_02', '001_U_01', '005_D_37', '001_U_04']",1,上行,3,117.982902,37.488988,False
001_U_04,三元生物,"['001_U_02', '001_U_03', '001_U_05']",1,上行,4,117.982716,37.485378,False
001_U_05,东关,"['001_U_07', '001_U_08', '001_U_06', '037_U_15', '001_D_35', '001_U_04']",1,上行,5,117.982398,37.479821,False
001_U_06,梧桐社区,"['001_U_07', '037_U_18', '001_U_08', '005_U_42', '001_U_13', '001_D_35', '037_U_17', '037_U_15', '001_U_05', '014_U_20', '037_U_19', '001_U_14']",1,上行,6,117.983247,37.472807,False
001_U_07,农业银行,"['001_U_09', '037_U_18', '001_U_08', '005_U_42', '001_U_13', '001_D_35', '014_U_17', '037_U_17', '001_U_06', '001_U_11', '037_U_15', '002_U_12', '001_U_05', '014_U_20', '001_U_12', '037_U_19', '001_U_14', '001_U_10']",1,上行,7,117.986752,37.47326,False
001_U_08,亚光工业园,"['001_U_09', '037_U_18', '001_U_07', '005_U_42', '014_U_17', '037_U_17', '001_U_06', '037_U_15', '001_U_05', '014_U_20', '001_D_35', '001_U_10']",1,上行,8,117.987512,37.476985,False
001_U_09,亚光宿舍,"['001_U_07', '037_U_18', '001_U_08', '014_U_17', '037_U_17', '001_U_11', '002_U_10', '014_U_20', '001_U_12', '001_U_10']",1,上行,9,117.990802,37.475922,False
001_U_10,泰裕麦业,"['001_U_09', '037_U_18', '001_U_07', '001_U_08', '001_U_13', '002_U_13', '014_U_17', '037_U_17', '001_U_11', '002_U_10', '002_U_09', '002_U_12', '014_U_20', '037_U_20', '001_U_12', '037_U_19']",1,上行,10,117.991435,37.471908,False
001_U_11,滨北派出所,"['001_U_09', '037_U_18', '001_U_07', '001_U_13', '002_U_13', '014_U_17', '037_U_17', '002_U_10', '002_U_09', '002_U_12', '014_U_20', '037_U_20', '001_U_12', '002_U_14', '037_U_19', '001_U_14', '001_U_10']",1,上行,11,117.991818,37.469517,False
001_U_12,滨北凤凰社区,"['001_U_09', '037_U_18', '001_U_07', '001_U_13', '002_U_13', '001_U_15', '037_U_17', '001_U_11', '002_U_12', '002_U_09', '014_U_20', '002_U_10', '037_U_20', '002_U_14', '037_U_19', '001_U_14', '001_U_10']",1,上行,12,117.990751,37.46834,False
001_U_13,新元商城,"['037_U_18', '001_U_11', '002_U_10', '037_U_19', '005_U_42', '002_U_13', '001_U_15', '001_U_10', '001_U_07', '037_U_17', '001_U_06', '002_U_12', '014_U_20', '037_U_20', '002_U_14', '001_D_35', '037_U_15', '001_U_12', '001_U_14']",1,上行,13,117.98743,37.468007,False
