格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区
001_U_22,创业大厦,"['001_U_23', '001_U_21']",1,上行,22,118.011547,37.430997,True
001_U_23,城市花园,['001_U_22'],1,上行,23,118.013874,37.428323,True
001_U_24,远方汽贸城,[],1,上行,24,118.016912,37.423375,True
001_U_25,建翔小区,"['105_U_30', '001_U_26', '004_U_19']",1,上行,25,118.019205,37.416688,True
001_U_26,兴滨小区,"['001_U_25', '105_U_30', '113_U_29']",1,上行,26,118.020317,37.413552,True
001_U_27,桃李幸福家园,"['012_U_12', '005_U_57']",1,上行,27,118.023007,37.405606,True
001_U_28,华海白癜风医院,[],1,上行,28,118.024366,37.401637,True
001_U_29,沪滨医院,['004_U_25'],1,上行,29,118.026144,37.396368,True
001_U_30,一建公司,"['001_U_31', '023_U_27', '004_U_25', '023_U_25']",1,上行,30,118.02748,37.392582,True
001_U_31,海得汽配城,"['001_U_30', '023_U_28', '001_D_08']",1,上行,31,118.028053,37.389326,True
001_U_32,第一加油站,"['001_U_33', '001_D_08', '016_D_05', '006_U_41', '036_U_28', '020_U_28']",1,上行,32,118.028509,37.384184,True
001_U_33,东狮家具城,"['006_U_41', '001_U_32', '030_U_45', '004_U_32', '036_U_28']",1,上行,33,118.028754,37.381322,True
001_U_34,城建集团,"['011_U_30', '004_U_32', '001_D_02', '006_U_44']",1,上行,34,118.029111,37.376535,True
001_D_02,城建集团宿舍,"['001_U_34', '011_U_30', '004_U_32', '006_U_44']",1,下行,2,118.028185,37.375318,True
001_D_03,吕剧团,"['009_U_46', '007_U_15', '001_D_04']",1,下行,3,118.023497,37.374952,True
001_D_04,渤海国际,"['023_U_33', '001_D_03', '018_U_19', '004_U_31', '007_U_15', '001_D_05']",1,下行,4,118.020272,37.376349,True
001_D_05,百货大楼,"['018_U_19', '004_U_31', '001_D_04', '033_U_19', '006_U_40']",1,下行,5,118.01995,37.379706,True
001_D_06,银茂大酒店,"['004_U_28', '001_D_07', '022_U_40', '033_U_19', '006_U_38']",1,下行,6,118.01937,37.384312,True
001_D_07,大润发,"['006_U_38', '022_U_40', '004_U_28', '001_D_06']",1,下行,7,118.020417,37.385671,True
001_D_08,姜家小区,"['016_D_05', '006_U_41', '001_U_32', '023_U_28', '001_U_31']",1,下行,8,118.026202,37.386103,True
002_U_24,北海馨居,['002_U_25'],2,上行,24,118.015479,37.419428,True
002_U_25,英天律师事务所,"['002_U_26', '002_U_24']",2,上行,25,118.012213,37.418943,True
002_U_26,滨海嘉园,"['105_U_29', '002_U_25', '007_U_02', '002_U_27']",2,上行,26,118.0099,37.416672,True
002_U_27,北海花园北门,"['002_U_26', '026_U_55', '007_U_04']",2,上行,27,118.0075,37.413944,True
002_U_28,职业学院,[],2,上行,28,118.000454,37.413426,True
002_U_29,华清园,[],2,上行,29,117.99573,37.412185,True
002_U_30,万达广场,"['029_U_31', '113_U_25', '002_U_31']",2,上行,30,117.996497,37.404631,True
