场站名称,场站编码,所属组织,场站面积,总泊位数,位置描述,中心点坐标-国际经度,中心点坐标-国际纬度,中心点坐标-中国经度,中心点坐标-中国纬度,关联分公司,关联线路,区域边界,,场站用途
13路小赵家副场,,滨州公共汽车有限公司-一分公司-一车队,,,,118.152695,37.555134,118.158795,37.556048,一分公司,13路,"{""type"":""Polygon"",""coordinates"":[]}",,
5路副场,1006,滨州公共汽车有限公司,,,,117.892159,37.584566,117.897996,37.585164,,,"{""type"":""Polygon"",""coordinates"":[[117.897497,37.585385],[117.898501,37.58493],[117.898281,37.585491],[117.897514,37.585398],[117.897723,37.584773],[117.898522,37.584922],[117.898501,37.584922]]}",,停车场
汽车总站停车场,1001,滨州公共汽车有限公司-二分公司-二车队,,,,117.930362,37.366664,117.936188,37.367233,,,"{""type"":""Polygon"",""coordinates"":[]}",,停车场
公交总公司,1002,滨州公共汽车有限公司,,,,118.012844,37.409379,118.018903,37.410181,二分公司,"16路,103路,106,11路","{""type"":""Polygon"",""coordinates"":[[118.018892,37.410186],[118.018779,37.411021],[118.018109,37.410965],[118.018302,37.409278],[118.01975,37.409333],[118.019407,37.411059],[118.018774,37.411021],[118.018774,37.411017]]}",,停车场
公交总公司,1002,滨州公共汽车有限公司,,,,118.012844,37.409379,118.018903,37.410181,一分公司,"1路,107","{""type"":""Polygon"",""coordinates"":[[118.018892,37.410186],[118.018779,37.411021],[118.018109,37.410965],[118.018302,37.409278],[118.01975,37.409333],[118.019407,37.411059],[118.018774,37.411021],[118.018774,37.411017]]}",,停车场
新能源停车场,1004,滨州公共汽车有限公司,,,,118.00133,37.402151,118.007352,37.402916,,,"{""type"":""Polygon"",""coordinates"":[[118.007962,37.403309],[118.008005,37.402678],[118.006867,37.402491],[118.006685,37.403198],[118.006685,37.403207]]}",,停车场
10路副场,1008,滨州公共汽车有限公司,,,,117.821233,37.287745,117.827181,37.288343,,,"{""type"":""Polygon"",""coordinates"":[[117.826714,37.288971],[117.826585,37.287912],[117.827717,37.287848],[117.827792,37.288941],[117.827776,37.288932]]}",,停车场
6路副场,1005,滨州公共汽车有限公司,,,,117.850402,37.496212,117.856297,37.496834,,,"{""type"":""Polygon"",""coordinates"":[[117.854741,37.49777],[117.855363,37.495642],[117.85811,37.495744],[117.857348,37.498179],[117.856737,37.498051],[117.855567,37.498102],[117.855546,37.498102]]}",,停车场
9路丛家副场,1007,滨州公共汽车有限公司,,,,117.793562,37.511466,117.799609,37.512192,,,"{""type"":""Polygon"",""coordinates"":[[117.799174,37.512545],[117.79911,37.511754],[117.799979,37.511746],[117.800022,37.512435],[117.800032,37.512435]]}",,停车场
二十四路停车场,1003,滨州公共汽车有限公司-二分公司-二车队,,,,117.914247,37.365101,117.920057,37.36565,,,"{""type"":""Polygon"",""coordinates"":[[117.919277,37.366396],[117.919277,37.364571],[117.92108,37.364563],[117.92108,37.366396],[117.921058,37.366413]]}",,停车场
黄河六路停车场,1009,滨州公共汽车有限公司-一分公司-一车队,,,,118.043088,37.386348,118.049225,37.387219,,,"{""type"":""Polygon"",""coordinates"":[[118.048592,37.387752],[118.048608,37.386426],[118.049986,37.386469],[118.049917,37.387858],[118.049917,37.387867]]}",,停车场
