格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区,可能的下车站点
001_U_01,柳家,"['001_U_02', '001_U_03', '001_D_38', '001_D_39', '001_D_40', '005_U_37', '005_U_38', '005_U_39', '005_D_35', '005_D_36', '005_D_37', '008_U_16', '008_U_17', '008_U_18', '008_D_27', '008_D_28', '008_D_29', '015_U_29', '015_U_30', '015_U_31', '015_D_26', '015_D_27', '015_D_28', '019_U_23', '019_U_24', '019_U_25', '019_D_26', '019_D_27', '019_D_28', '037_U_10', '037_U_11', '037_U_12', '037_D_36', '037_D_37', '038_U_12', '038_U_13', '038_U_14', '038_D_34', '038_D_35']",1,上行,1,117.98317,37.493833,False,"['001_U_02', '001_U_03', '001_U_04', '001_U_05', '001_U_06', '001_U_07', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_02,五中队,"['001_U_01', '001_U_03', '001_U_04', '001_D_37', '001_D_38', '001_D_39', '001_D_40', '005_U_37', '005_U_38', '005_U_39', '005_U_40', '005_D_34', '005_D_35', '005_D_36', '005_D_37', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_D_26', '008_D_27', '008_D_28', '008_D_29', '015_U_29', '015_U_30', '015_U_31', '015_U_32', '015_D_25', '015_D_26', '015_D_27', '015_D_28', '019_U_23', '019_U_24', '019_U_25', '019_U_26', '019_D_25', '019_D_26', '019_D_27', '019_D_28', '037_U_10', '037_U_11', '037_U_12', '037_U_13', '037_D_35', '037_D_36', '037_D_37', '038_U_12', '038_U_13', '038_U_14', '038_U_15', '038_D_33', '038_D_34', '038_D_35']",1,上行,2,117.982986,37.49055,False,"['001_U_03', '001_U_04', '001_U_05', '001_U_06', '001_U_07', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_03,九环,"['001_U_01', '001_U_02', '001_U_04', '001_D_37', '001_D_38', '001_D_39', '001_D_40', '005_U_37', '005_U_38', '005_U_39', '005_U_40', '005_D_34', '005_D_35', '005_D_36', '005_D_37', '008_U_16', '008_U_17', '008_U_18', '008_U_19', '008_D_26', '008_D_27', '008_D_28', '008_D_29', '015_U_29', '015_U_30', '015_U_31', '015_U_32', '015_D_25', '015_D_26', '015_D_27', '015_D_28', '019_U_23', '019_U_24', '019_U_25', '019_U_26', '019_D_25', '019_D_26', '019_D_27', '019_D_28', '037_U_10', '037_U_11', '037_U_12', '037_U_13', '037_D_35', '037_D_36', '037_D_37', '038_U_12', '038_U_13', '038_U_14', '038_U_15', '038_D_33', '038_D_34', '038_D_35']",1,上行,3,117.982902,37.488988,False,"['001_U_04', '001_U_05', '001_U_06', '001_U_07', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_04,三元生物,"['001_U_02', '001_U_03', '001_U_05', '001_D_36', '001_D_37', '001_D_38', '001_D_39', '001_D_40', '005_U_38', '005_U_39', '005_U_40', '005_U_41', '005_D_33', '005_D_34', '005_D_35', '005_D_36', '008_U_17', '008_U_18', '008_U_19', '008_U_20', '008_D_25', '008_D_26', '008_D_27', '008_D_28', '015_U_30', '015_U_31', '015_U_32', '015_U_33', '015_D_24', '015_D_25', '015_D_26', '015_D_27', '019_U_24', '019_U_25', '019_U_26', '019_U_27', '019_D_24', '019_D_25', '019_D_26', '019_D_27', '037_U_11', '037_U_12', '037_U_13', '037_U_14', '037_D_34', '037_D_35', '037_D_36', '037_D_37', '038_U_13', '038_U_14', '038_U_15', '038_U_16', '038_D_32', '038_D_33', '038_D_34', '038_D_35']",1,上行,4,117.982716,37.485378,False,"['001_U_05', '001_U_06', '001_U_07', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_05,东关,"['001_U_04', '001_U_06', '001_U_07', '001_U_08', '001_D_32', '001_D_33', '001_D_34', '001_D_35', '001_D_36', '001_D_37', '001_D_38', '005_U_40', '005_U_41', '005_D_32', '005_D_33', '005_D_34', '005_D_35', '008_U_19', '008_U_20', '008_D_24', '008_D_25', '008_D_26', '008_D_27', '015_U_32', '015_U_33', '015_D_23', '015_D_24', '015_D_25', '015_D_26', '019_U_26', '019_U_27', '019_D_23', '019_D_24', '019_D_25', '019_D_26', '037_U_13', '037_U_14', '037_U_15', '037_U_16', '037_D_31', '037_D_32', '037_D_33', '037_D_34', '037_D_35', '037_D_36', '038_U_15', '038_U_16', '038_U_17', '038_U_18', '038_D_30', '038_D_31', '038_D_32', '038_D_33', '038_D_34']",1,上行,5,117.982398,37.479821,False,"['001_U_06', '001_U_07', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_06,梧桐社区,"['001_U_05', '001_U_07', '001_U_08', '001_U_13', '001_U_14', '001_D_26', '001_D_27', '001_D_32', '001_D_33', '001_D_34', '001_D_35', '001_D_36', '005_U_41', '005_U_42', '005_U_43', '005_D_30', '005_D_31', '005_D_32', '005_D_33', '008_U_20', '008_U_21', '008_U_22', '008_D_22', '008_D_23', '008_D_24', '008_D_25', '014_U_20', '014_U_21', '014_D_25', '014_D_26', '015_U_33', '015_U_34', '015_U_35', '015_D_21', '015_D_22', '015_D_23', '015_D_24', '019_U_27', '019_U_28', '019_U_29', '019_D_21', '019_D_22', '019_D_23', '019_D_24', '021_U_23', '021_D_20', '037_U_14', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '037_D_34', '038_U_16', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_D_28', '038_D_29', '038_D_30', '038_D_31', '038_D_32']",1,上行,6,117.983247,37.472807,False,"['001_U_07', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_07,农业银行,"['001_U_05', '001_U_06', '001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_D_26', '001_D_27', '001_D_28', '001_D_29', '001_D_30', '001_D_31', '001_D_32', '001_D_33', '001_D_34', '001_D_35', '001_D_36', '002_U_11', '002_U_12', '002_D_32', '002_D_33', '005_U_41', '005_U_42', '005_U_43', '005_D_30', '005_D_31', '005_D_32', '005_D_33', '008_U_20', '008_U_21', '008_U_22', '008_D_22', '008_D_23', '008_D_24', '008_D_25', '014_U_17', '014_U_18', '014_U_19', '014_U_20', '014_U_21', '014_D_25', '014_D_26', '014_D_27', '014_D_28', '014_D_29', '015_U_33', '015_U_34', '015_U_35', '015_D_21', '015_D_22', '015_D_23', '015_D_24', '019_U_27', '019_U_28', '019_U_29', '019_D_21', '019_D_22', '019_D_23', '019_D_24', '021_U_23', '021_D_20', '037_U_14', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '037_D_34', '038_U_16', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_D_27', '038_D_28', '038_D_29', '038_D_30', '038_D_31', '038_D_32']",1,上行,7,117.986752,37.47326,False,"['001_U_08', '001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_08,亚光工业园,"['001_U_05', '001_U_06', '001_U_07', '001_U_09', '001_U_10', '001_D_30', '001_D_31', '001_D_32', '001_D_33', '001_D_34', '001_D_35', '001_D_36', '005_U_41', '005_U_42', '005_D_32', '005_D_33', '008_U_20', '008_U_21', '008_D_24', '008_D_25', '014_U_17', '014_U_18', '014_U_19', '014_U_20', '014_D_27', '014_D_28', '014_D_29', '015_U_33', '015_U_34', '015_D_23', '015_D_24', '019_U_27', '019_U_28', '019_D_23', '019_D_24', '037_U_14', '037_U_15', '037_U_16', '037_U_17', '037_U_18', '037_D_30', '037_D_31', '037_D_32', '037_D_33', '037_D_34', '038_U_16', '038_U_17', '038_U_18', '038_U_19', '038_U_20', '038_D_29', '038_D_30', '038_D_31', '038_D_32']",1,上行,8,117.987512,37.476985,False,"['001_U_09', '001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_09,亚光宿舍,"['001_U_07', '001_U_08', '001_U_10', '001_U_11', '001_U_12', '001_D_28', '001_D_29', '001_D_30', '001_D_31', '001_D_32', '001_D_33', '001_D_34', '002_U_10', '002_U_11', '002_D_33', '014_U_17', '014_U_18', '014_U_19', '014_U_20', '014_D_27', '014_D_28', '014_D_29', '014_D_30', '037_U_16', '037_U_17', '037_U_18', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '038_U_18', '038_U_19', '038_U_20', '038_D_28', '038_D_29', '038_D_30', '038_D_31']",1,上行,9,117.990802,37.475922,False,"['001_U_10', '001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
001_U_10,泰裕麦业,"['001_U_07', '001_U_08', '001_U_09', '001_U_11', '001_U_12', '001_U_13', '001_D_27', '001_D_28', '001_D_29', '001_D_30', '001_D_31', '001_D_32', '001_D_33', '001_D_34', '002_U_09', '002_U_10', '002_U_11', '002_U_12', '002_U_13', '002_D_32', '002_D_33', '002_D_34', '002_D_35', '014_U_17', '014_U_18', '014_U_19', '014_U_20', '014_D_27', '014_D_28', '014_D_29', '014_D_30', '037_U_16', '037_U_17', '037_U_18', '037_U_19', '037_U_20', '037_D_28', '037_D_29', '037_D_30', '037_D_31', '037_D_32', '038_U_18', '038_U_19', '038_U_20', '038_U_21', '038_U_22', '038_D_27', '038_D_28', '038_D_29', '038_D_30', '038_D_31']",1,上行,10,117.991435,37.471908,False,"['001_U_11', '001_U_12', '001_U_13', '001_U_14', '001_U_15', '001_U_16', '001_U_17', '001_U_18', '001_U_19', '001_U_20', '001_U_21', '001_U_22', '001_U_23', '001_U_24', '001_U_25', '001_U_26', '001_U_27', '001_U_28', '001_U_29', '001_U_30', '001_U_31', '001_U_32', '001_U_33', '001_U_34']"
