,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
1,16,95,93,2,4,0,0,0,0,0,0,0,107,0,0,0,3,14,0,0,34,60,2,0,0,13,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,16,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,117,1,0,0,0,0,1,0,0,0,0,59,0,0,14,77,164,2,0,0,5,0,0,0,7,33,417,6,0,0,0,0,7,6,0,3,13,57,16,3,139,47,2,0,0,3,6,0,118
2,219,97,91,10,19,0,0,13,0,1,0,0,203,0,0,0,0,39,0,0,148,43,15,0,0,10,0,0,1,0,9,0,0,0,5,0,1,2,1,0,0,0,3,8,2,0,3,0,0,0,10,0,5,52,0,0,29,0,0,0,34,0,4,1,0,4,0,0,0,746,0,0,0,0,0,3,0,0,0,2,112,1,1,165,169,558,69,0,0,11,1,0,8,200,13,1018,7,7,0,0,1,0,24,1,46,242,90,18,15,600,287,171,25,7,3,197,5,514
3,82,111,156,103,7,0,0,39,0,0,0,0,12,2,2,1,0,1,2,0,203,11,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,1,3,0,0,46,0,0,23,3,0,0,9,0,0,0,0,8,5,0,1,642,1,0,0,0,0,0,0,0,1,3,19,2,5,73,28,581,6,2,1,0,0,0,0,11,17,1438,0,6,0,0,0,0,0,0,7,49,455,11,114,817,17,6,1,0,1,78,0,172
4,13,4,114,21,8,0,3,37,0,0,0,0,0,0,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,21,22,0,0,17,1,8,0,0,2,0,0,0,0,1,0,0,0,6,0,0,1,9,1,0,0,0,0,0,24,0,0,0,19,1,27,0,17,157,49,0,0,0,0,0,0,74,1,18,0,0,0,24,24,0,0,0,30,16,0,0,0,77,1,49,0,1,1,89,0,10
5,31,14,11,4,7657,0,188,44,0,1255,0,0,536,591,165,374,1888,2545,117,80,234,1,16,0,350,627,32,403,779,497,1196,1065,0,0,874,0,301,12,96,1018,2,362,1140,954,160,541,535,55,137,64,813,2,547,708,39,0,1940,5,0,111,166,170,115,11,283,245,31,0,244,425,729,441,13,0,146,457,321,627,9,0,94,716,34,327,666,2144,122,334,653,43,1048,602,10,379,78,6083,128,441,0,103,560,1085,315,497,1,252,80,166,20,1382,887,246,769,785,2746,14,448,1224
6,0,0,4,0,271,0,81,6,0,3,0,0,59,14,0,2,15,4,0,0,0,0,167,0,14,1,0,0,3,0,0,23,0,0,932,0,401,16,0,0,0,0,2,66,4,90,33,5,1,19,25,0,2,8,0,0,900,0,0,0,0,0,873,607,36,251,7,0,5,0,479,99,0,0,0,0,0,1,2,0,0,4,706,0,6,7,0,62,7,71,0,81,0,0,1,3570,0,0,0,1,6,7,23,0,0,3,0,0,49,263,0,2,0,80,516,3,0,5
7,0,0,0,0,355,2,98,13,0,0,0,0,97,26,0,0,0,0,0,17,3,0,23,0,4,4,0,0,39,0,156,41,0,82,553,0,411,179,0,1,0,0,0,178,78,70,64,39,0,4,13,0,5,2,2,0,103,0,0,81,18,0,254,155,69,305,29,0,0,3,228,127,0,0,4,0,0,23,0,0,0,4,82,0,9,4,0,2,0,24,15,49,0,0,0,411,0,43,0,0,205,176,6,33,0,16,0,44,76,168,1,0,0,32,67,1,0,3
8,4,7,19,1,77,0,0,3110,0,8,0,0,1,0,0,6,8,2,2,0,66,0,0,0,2,4,0,31,5,1,2,0,0,0,9,0,1214,9,5,5,0,0,0,51,0,10,1,0,8,1,23,0,13,24,0,0,105,0,0,0,1,1,690,1,70,1785,233,0,1564,3,13,2,1,0,7,7,47,4,391,0,259,1509,9,0,17,2033,9,6,6,2,2,3,4,85,9,111,3,199,0,0,309,335,3,3,11,2,0,0,383,1486,591,10,111,249,66,43,4,6
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,5,3,0,877,0,2,10,0,23,0,2,1,7,0,1,7,116,8,1,0,0,0,0,259,338,0,0,159,20,793,2,0,0,16,0,11,16,58,248,0,2,4,143,7,0,215,0,39,0,512,0,78,132,2,0,63,0,0,5,0,9,12,7,9,22,0,0,0,9,16,10,0,0,9,186,190,5,0,4,0,7,14,3,76,34,1,2,2,4,4,23,0,160,12,529,94,1,0,85,12,15,25,1,0,0,2,0,7,15,28,2,2,90,197,15,7,49
